id,product-name,console-name,price-in-pennies,include-string,condition-string,sku,description,photos,cost-basis-in-pennies,quantity,date-entered
11990,Excitebike,NES,700,Item only,Normal wear,,,,1500,1,2022-08-30
9258,Lumines,PSP,676,"Item, Box, and Manual",Normal wear,,,,900,1,2022-03-22
71902,Diablo II,PC Games,256,Item only,Normal wear,,,,0,1,2022-03-22
4124,Pokemon Pearl,Nintendo DS,5608,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
16678,Crystal Mines II,Atari Lynx,1368,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
4442,Final Fantasy VII,Playstation,4775,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
63118,Sonic CD [Not For Resale],Sega CD,4185,Item only,Normal wear,,,,0,1,2022-12-22
6889,Chrono Trigger,Super Nintendo,19999,Item only,Normal wear,,,,8000,1,2021-11-21
16123,Zelda Link's Awakening,GameBoy,3500,Item only,Writing,,,,3000,1,2022-05-16
2362913,Wii Console White,PAL Wii,3250,Item only,Normal wear,,,,0,1,2022-03-22
21836,Metallic Rose Nintendo DS Lite,Nintendo DS,4222,Item only,Normal wear,,,,0,1,2022-03-22
2981,Pokemon Gold,GameBoy Color,4698,Item only,Normal wear,,,,0,1,2021-11-21
4436,Final Fantasy VIII,Playstation,1821,Item and Box only,Normal wear,,,,0,1,2022-03-22
7462,Super R-Type,Super Nintendo,2241,Item and Manual only,Normal wear,,,,0,1,2021-11-21
6736,Xbox System,Xbox,4086,Item only,Normal wear,,,,0,1,2022-03-22
53409,Segata Sanshiro Shinkenyugi,JP Sega Saturn,4941,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
16744,Xybots,Atari Lynx,1850,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
3976,Zelda Majora's Mask,Nintendo 64,8150,Item and Manual only,Normal wear,,,,8000,1,2022-03-22
4134,Retro Atari Classics,Nintendo DS,1183,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
16064,Chrono Trigger,Nintendo DS,9848,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
3225553,Star Wars Knights of the Old Republic,Nintendo Switch,4666,Item only,Normal wear,,,,6999,1,2022-09-09
2215,Golden Sun,GameBoy Advance,4164,Item only,Normal wear,,,,0,1,2021-11-21
63863,Nintendo Switch Lite [Turquoise],Nintendo Switch,13025,Item only,Normal wear,,Re-shelled and replaced touchscreen digitizer,,6500,1,2022-08-15
152946,Elder Scrolls III: Tribunal,PC Games,4583,Item only,Normal wear,,,,0,1,2022-03-22
19256,Visual Memory Unit (VMU),Sega Dreamcast,2600,Item only,Normal wear,,,,0,1,2022-03-22
12517,Wheel of Fortune,NES,452,Item only,Normal wear,,,,0,1,2022-08-12
11487,Rogue Galaxy,Playstation 2,2460,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
59730,Super Mario Maker 2,Nintendo Switch,3300,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
3522556,Pokemon Scarlet,Nintendo Switch,4499,"New Item, Box, and Manual",Normal wear,,,,0,1,2022-12-09
5776,Sly Cooper and the Thievius Raccoonus,Playstation 2,2184,"Item, Box, and Manual",Normal wear,,,,0,1,2021-11-21
